DependentID,EmployeeID,FirstName,MiddleName,LastName,Gender,BirthDate
1,9,Martha,S,Erickson,F,2010-06-07
2,9,William,M,Erickson,M,2008-11-02
3,34,Michael,T,Eaton,M,2005-07-01
4,72,Robert,,Ralls,M,1999-04-25
5,72,Marcia,A,Ralls,F,1998-09-17
6,72,Barbara,C,Ralls,F,2001-11-12
7,72,Theodore,,Ralls,M,2005-08-01
8,72,Patricia,M,Ralls,F,2003-12-22
9,96,Samuel,,Vong,M,1995-04-01
10,96,Heidi,,Vong,F,1997-10-07
11,96,Wendy,,Vong,F,1999-08-27
12,102,Joseph,L,Bacon,M,1993-08-07
13,94,Christopher,A,Spoon,M,1994-02-17
14,94,Jason,P,Spoon,M,1995-07-21
15,71,Sheila,M,Kahn,F,1997-08-22
16,71,Carla,C,Kahn,F,1998-12-02
17,71,Maria,N,Kahn,F,2000-08-01
