employeeid,firstname,middlename,lastname,title,birthdate,maritalstatus,gender,hiredate,salary,vacationhours,sickleavehours,active,managerid
2,Kevin,F,Brown,Marketing Assistant,1977-06-03,S,M,1997-02-26,"$23,799.93",42,41,Yes,6
3,Roberto,,Tamburello,Engineering Manager,1964-12-13,M,M,1997-12-12,"$44,999.97",2,21,Yes,12
5,Thierry,B,D'Nofro,Tool Designer,1949-08-29,M,M,1998-01-11,"$28,730.00",9,24,Yes,6
6,David,M,Bradley,Marketing Manager,1965-04-19,S,M,1998-01-20,"$42,500.02",40,40,Yes,109
9,Gail,A,Erickson,Design Engineer,1942-10-29,M,F,1998-02-06,"$66,299.98",5,22,Yes,3
11,Jossef,H,Goldberg,Design Engineer,1949-04-11,M,M,1998-02-24,"$37,569.99",6,23,Yes,3
12,Terri,Lee,Duffy,Vice President of Engineering,1961-09-01,S,F,1998-03-03,"$85,799.95",1,20,Yes,109
28,Ashvini,R,Sharma,Network Administrator,1967-04-28,S,M,1999-01-05,"$42,500.02",70,55,Yes,150
30,Paula,M,Barreto de Mattos,Human Resources Manager,1966-03-14,M,F,1999-01-07,"$67,999.98",54,47,Yes,140
34,          Susan    ,W,Eaton,Stocker,1968-03-20,S,F,1999-01-08,"$15,724.80",99,68,Yes,85
35,Vamsi,N,Kuppa,Shipping and Receiving Clerk,1967-04-19,M,M,1999-01-08,"$14,108.64",95,67,Yes,85
41,Peng,J,Wu,Quality Assurance Supervisor,1966-04-19,M,M,1999-01-10,"$32,129.98",81,60,Yes,200
42,Jean,E,O'Brien,Information Services Manager,1966-01-13,S,F,1999-01-12,"$126,000.07",65,52,Yes,109
44,A. Scott,,Wright,Master Scheduler,1958-10-19,S,M,1999-01-13,"$41,650.02",44,42,Yes,148
46,Sariya,E,Harnpadoungsataya,Marketing Specialist,1977-06-21,S,M,1999-01-13,"$25,500.04",45,42,Yes,6
47,Willis,T,Johnson,Recruiter,1968-08-18,S,M,1999-01-14,"$32,299.95",99,44,Yes,30
49,Christian,E,Kleinerman,Maintenance Supervisor,1966-02-18,M,M,1999-01-15,"$30,345.01",92,66,Yes,218
54,Tengiz,N,Kharatishvili,Control Specialist,1980-05-29,S,M,1999-01-17,"$24,989.96",76,58,Yes,6
59,Deborah,E,Smyth,Accounts Receivable Specialist,1966-04-07,M,F,1999-01-19,"$23,712.00",60,50,Yes,139
66,Janaina,Barreiro Gambaro,Bueno,Application Specialist,1975-03-03,M,F,1999-01-24,"$47,879.92",71,55,Yes,42
70,Mindy,C,Martin,Benefits Specialist,1974-12-22,M,F,1999-01-26,"$41,399.90",51,45,Yes,30
71,Wendy,Beth,Kahn,Finance Manager,1974-11-12,S,F,1999-01-26,"$107,999.93",55,47,Yes,140
72,Kim,T,Ralls,Stocker,1974-06-01,S,F,1999-01-27,"$15,724.80",98,69,Yes,85
77,Sean,P,Alexander,Quality Assurance Technician,1966-04-07,S,M,1999-01-29,"$15,707.96",82,61,No ,41
79,Diane,L,Margheim,Research and Development Engineer,1976-07-06,S,F,1999-01-30,"$102,000.04",62,51,Yes,158
