SubDivision,Name,Emails,Instructions
Accounting Dept,"LastName, FirstName1",something1@something.something,
Department 2,"LastName, FirstName2",something@something.something,Same person 2
Department 3,"LastName, FirstName2",something@something.something,Same person 2
Dept 4,"LastName, FirstName4",something3@something.something,Same person 1
Bridges Department,"LastName, FirstName5",something4@something.something,
Bridges Department,"LastName, FirstName6",something5@something.something,
Commissioner Dept,"LastName, FirstName4",something3@something.something,Same person 1
Facilities Dept,"LastName, FirstName8",something7@something.something,
Ferry Department,"LastName, FirstName9",something8@something.something,Address him as Nickname
Fleet Department,"LastName, FirstName10",something9@something.something,
Department 9,"LastName, FirstName2",something@something.something,Same person 2
Human Resources,"LastName, FirstName12",something11@something.something,
Human Resources,"LastName, FirstName13",something13@something.something,
Human Resources,"LastName, FirstName14",something12@something.something,
Human Resources,"LastName, FirstName15",something14@something.something,
IT Department,"LastName, FirstName16",something15@something.something,
IT Department,"LastName, FirstName17",something16@something.something,
Law Department,"LastName, FirstName18",something17@something.something,
Department 13,"LastName, FirstName19",somethin18g@something.something,
Road Department,"LastName, FirstName20",something19@something.something,
Road Department,"LastName, FirstName21",differentemail1@something.something,
Department 15,"LastName, FirstName22",differentemail2@something.something,"email all as:  Hi Special Team team, ... "
Department 15,"LastName, FirstName23",differentemail3@something.something,
Department 15,"LastName, FirstName24",differentemail4@something.something,
Department 15,"LastName, FirstName25",differentemail5@something.something,
Department 15,"LastName, FirstName26",differentemail6@something.something,
Department 16,"LastName, FirstName27",differentemail7@something.something,
Department 16,"LastName, FirstName28",differentemail8@something.something,
Traffic Department,"LastName, FirstName29",differentemail9@something.something,
